558,52
781,27
788,46
683,23
99,34
664,32
316,49
38,60
370,51
180,49
35,35
595,47
500,25
128,23
599,48
152,53
65,40
90,37
82,60
174,53
116,41
189,38
131,40
264,40
722,38
302,50
174,59
604,28
32,34
32,77
470,55
127,54
553,47
518,45
112,41
112,79
437,37
552,50
194,43
788,38
533,40
521,28
512,41
178,23
416,32
22,52
642,61
189,58
223,42
40,53
344,49
401,42
189,31
517,43
328,39
328,79
331,48
414,55
567,48
526,22
659,52
492,25
655,39
500,41
530,41
530,76
114,38
301,51
602,54
565,31
335,29
52,25
216,33
216,79
550,47
481,26
516,22
508,31
508,76
717,34
641,26
525,46
384,22
784,47
383,26
659,50
235,30
319,49
647,34
320,35
326,56
122,41
453,59
185,26
393,55
392,47
392,74
241,35
777,24
407,52
659,39
288,35
288,79
15,26
486,59
206,43
206,71
315,25
197,55
329,36
184,55
474,22
706,38
384,29
537,52
128,27
349,22
245,25
244,32
65,56
616,43
284,51
384,60
269,55
269,71
736,54
385,52
25,26
200,28
450,36
644,51
482,59
83,41
199,23
199,69
425,22
222,43
776,51
190,30
729,25
729,77
749,59
281,54
362,55
271,57
271,70
289,59
124,36
693,37
602,25
602,77
376,60
251,60
459,38
120,44
136,60
596,58
393,55
126,51
162,34
230,56
290,25
119,22
332,58
138,35
361,55
488,42
222,60
141,53
505,41
139,53
473,26
329,44
600,49
796,26
52,37
702,28
466,51
466,74
24,47
456,52
406,55
637,24
209,27
209,74
438,35
536,36
550,46
550,78
548,45
548,70
662,34
662,71
341,29
341,71
685,58
631,27
675,54
773,56
740,57
743,57
296,44
63,50
63,69
563,47
424,61
382,23
608,54
497,53
313,43
81,53
384,37
398,43
44,39
732,23
430,29
601,23
7,52
318,54
467,47
434,58
781,43
316,41
399,33
403,29
685,48
409,44
409,78
557,38
231,29
571,40
235,41
226,50
745,34
355,27
177,54
379,59
654,55
428,59
402,37
179,58
536,38
299,26
184,32
328,42
574,36
337,42
5,53
669,56
669,70
80,53
490,37
490,69
567,38
222,36
408,38
85,28
540,29
55,40
55,71
2,46
2,75
135,51
227,56
305,40
453,29
146,45
146,74
646,30
770,49
97,34
434,33
434,75
181,35
247,61
3,31
606,41
603,59
603,70
428,44
428,77
447,31
730,32
672,57
189,28
169,32
169,79
18,22
646,31
477,44
377,36
258,61
8,33
404,56
369,34
580,38
580,75
429,33
11,48
365,29
365,73
51,58
373,50
725,39
656,60
677,47
441,52
441,79
101,26
212,52
199,24
230,54
230,76
534,61
231,59
448,35
391,52
168,51
447,52
447,75
25,61
25,77
90,59
677,58
70,61
581,30
398,41
459,27
744,44
795,57
265,35
72,22
133,48
133,70
710,45
448,51
448,70
414,40
414,78
65,39
396,24
252,23
573,42
573,79
558,29
601,36
599,60
259,48
686,57
574,37
44,27
44,70
117,54
117,69
230,61
230,72
364,43
364,78
218,24
578,34
210,28
210,78
576,23
252,36
335,46
541,27
536,44
569,42
418,47
418,69
111,52
659,61
47,35
47,78
744,24
744,71
536,33
247,28
707,38
167,35
119,49
98,47
785,55
181,42
779,39
779,73
329,39
607,43
692,49
246,23
541,35
60,60
60,69
697,52
678,22
753,58
753,69
42,40
117,46
323,37
645,28
441,32
507,26
174,55
174,76
651,33
305,44
53,32
711,46
320,42
161,58
352,28
651,56
480,22
554,34
108,35
473,43
790,38
548,56
737,50
737,75
631,59
121,32
195,33
632,27
40,56
280,42
240,26
240,74
248,33
767,24
696,30
781,35
48,55
652,59
687,58
760,38
69,28
69,71
347,42
226,57
226,77
674,35
778,33
104,28
213,36
213,71
444,30
444,79
602,55
430,30
430,76
430,49
531,22
364,32
117,59
94,40
526,24
12,37
12,75
257,50
257,79
414,38
753,61
753,78
647,57
399,54
73,38
547,60
76,43
729,31
524,40
453,51
650,31
43,36
387,52
689,37
188,49
393,42
393,78
150,44
676,52
586,46
564,36
564,53
674,43
484,29
373,24
778,50
725,48
794,44
300,32
391,49
763,48
373,26
197,37
531,52
794,57
377,60
558,48
613,51
7,40
783,54
774,58
186,54
172,47
172,79
378,31
378,73
384,24
338,54
634,24
64,61
378,46
694,25
476,26
727,36
240,47
240,69
187,35
187,70
446,54
574,52
340,31
382,33
626,29
346,29
448,37
2,39
201,22
643,22
688,58
783,56
261,28
261,70
162,36
157,57
549,35
549,72
323,60
715,37
369,55
335,23
395,42
122,44
133,37
133,69
637,43
251,54
135,32
402,22
246,41
89,46
667,56
392,46
751,39
639,30
622,46
731,53
8,35
8,75
500,25
75,22
186,35
340,34
340,74
95,54
68,29
539,57
539,77
247,55
549,26
626,51
446,35
446,73
663,50
617,43
774,52
774,69
90,60
244,45
745,32
383,31
475,33
209,24
239,45
668,37
352,51
603,43
237,46
28,39
463,26
463,70
756,48
787,52
273,42
715,61
19,61
19,74
322,40
558,60
676,56
183,27
206,49
206,79
152,51
152,79
112,46
788,51
692,32
791,56
166,23
16,29
16,73
692,23
436,61
2,56
534,29
615,32
675,60
603,61
603,75
684,25
118,53
171,40
125,39
796,45
96,34
96,79
696,38
300,37
224,59
772,26
735,61
544,45
622,23
737,60
461,47
437,56
292,46
309,50
652,54
686,36
794,61
589,45
685,39
631,36
287,22
287,74
480,50
480,74
437,49
75,48
47,47
3,44
3,71
109,53
109,76
613,53
349,38
679,25
26,43
26,78
481,50
418,24
596,53
151,37
722,22
338,41
618,22
155,23
456,23
57,40
41,44
730,28
612,61
612,69
257,46
94,45
156,22
128,26
26,51
275,55
43,46
504,50
554,52
554,72
86,51
777,52
341,38
157,49
539,37
712,33
552,32
134,40
134,73
179,45
446,32
258,40
24,32
543,53
68,27
598,38
66,61
300,43
253,36
253,77
238,56
663,60
663,75
672,57
331,59
316,55
286,34
655,30
155,22
655,22
90,47
301,60
320,43
196,26
300,35
534,58
534,72
315,52
753,40
753,77
146,30
610,35
263,37
546,53
133,45
311,29
603,36
16,37
311,50
311,75
687,55
743,61
673,51
46,29
617,44
697,51
115,51
778,50
536,59
371,30
371,70
122,29
733,29
84,40
48,23
167,59
758,30
149,47
137,51
137,73
703,39
141,26
106,52
106,78
261,45
261,70
548,43
548,73
793,25
24,23
465,47
465,69
705,30
525,52
99,40
730,38
371,22
209,29
517,22
407,28
420,49
321,26
321,77
6,51
324,29
613,52
403,33
125,28
81,57
373,37
263,47
706,59
784,47
678,24
276,46
464,47
640,29
458,52
299,51
399,61
420,29
241,51
331,24
594,51
594,79
321,57
184,58
464,24
319,47
319,74
137,24
137,74
209,36
270,38
376,50
376,71
728,27
728,74
58,25
58,71
573,55
27,23
474,57
684,26
150,28
144,38
795,46
795,69
330,46
330,78
316,57
241,39
446,55
277,58
101,24
